Episode,Epsilon,Reward,Reward cumulee,Episode Duration,Loss,True Value,Estimate Value,TD Error
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.9811359,0.99607277,-0.014936864
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.41391715,0.42717263,-0.013255477
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.69812936,0.71890587,-0.02077651
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.41299784,0.43311325,-0.020115405
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.44085264,0.45465186,-0.01379922
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.46099067,0.464968,-0.0039773285
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.9328816,0.9416289,-0.00874728
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.9615528,0.962225,-0.0006722212
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.44469473,0.46107247,-0.016377747
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.56612223,0.5780896,-0.011967361
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.1378024,1.1689824,-0.031180024
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.4782087,0.49376994,-0.015561253
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.2570342,0.25980884,-0.002774626
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.8321152,0.83746547,-0.0053502917
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.8720628,0.8773595,-0.005296707
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.2555896,1.2363064,0.019283175
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.28543925,0.29204676,-0.0066075027
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.1049787,1.1230004,-0.018021703
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.85555935,0.8589036,-0.0033442378
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.9723932,0.9759816,-0.0035883784
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.8737696,0.80350095,0.07026863
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.34679344,0.35096273,-0.0041692853
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.1613818,1.1793039,-0.017922044
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.9583359,0.95866954,-0.0003336668
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.4230542,0.43401405,-0.010959864
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.0280854,1.0272248,0.00086057186
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.278203,1.2147206,0.063482404
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.99700636,0.99550754,0.0014988184
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.8820923,0.88113457,0.00095772743
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.97296315,0.9630356,0.009927571
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.35629103,0.35993686,-0.0036458373
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.8520971,0.85056764,0.0015294552
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.74736327,0.7213804,0.025982857
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.5342888,0.550409,-0.016120195
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.8919611,0.8996459,-0.007684827
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.66361755,0.65891105,0.004706502
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.0500294,1.0570745,-0.00704515
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.53007096,0.53604543,-0.0059744716
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.040511,1.0429789,-0.0024678707
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.1130081,1.1199297,-0.00692153
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.25891536,0.26963416,-0.010718793
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.6181745,0.6474897,-0.029315233
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.9016695,0.9113814,-0.009711921
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.4970644,0.5059927,-0.008928299
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.7054228,0.70575136,-0.0003285408
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.0813545,1.1029193,-0.021564841
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.33441508,0.3315153,0.002899766
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.1271036,1.1612694,-0.03416586
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.40008286,0.41461322,-0.014530361
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.1156474,1.124602,-0.008954525
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.94938445,0.96610963,-0.016725183
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.7194964,0.70908487,0.010411561
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.6469715,0.67661077,-0.029639244
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.1457736,1.1797422,-0.033968568
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.59001523,0.5931583,-0.0031430721
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.72950846,0.74869305,-0.01918459
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.4865546,0.49387345,-0.0073188543
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.68266094,0.68176186,0.00089907646
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.0342346,1.0429991,-0.008764505
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.41336766,0.42781225,-0.01444459
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.30202848,0.30601212,-0.0039836466
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.2426077,1.248412,-0.0058043003
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.40822285,0.42419043,-0.015967578
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.2397015,1.2785257,-0.0388242
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.6560176,0.66875935,-0.0127417445
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.1223742,1.125068,-0.0026937723
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.88978034,0.88873625,0.0010440946
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.3071142,1.3455573,-0.03844309
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.90354663,0.90927255,-0.00572592
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.37548453,0.37836292,-0.0028783977
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.2265589,1.2655846,-0.039025664
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.75455034,0.7496328,0.004917562
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.0307708,1.040563,-0.009792209
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.5042505,0.51988536,-0.015634835
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.34424895,0.34103796,0.0032109916
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.36580974,0.36911666,-0.0033069253
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.9175013,0.9239428,-0.0064415336
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.51615477,0.52375436,-0.007599592
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.9538629,0.9614692,-0.007606268
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.0007491,1.0123605,-0.011611342
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.46087945,0.4640109,-0.0031314492
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.1548849,1.1580886,-0.0032036304
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.6587006,0.6569614,0.0017392039
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.58618283,0.5915848,-0.005401969
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.52857745,0.5397773,-0.011199832
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.9315971,0.94329256,-0.011695445
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.7420295,0.73700005,0.00502944
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.82450914,0.80795944,0.016549706
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.0108364,1.0206964,-0.009860039
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.1150484,1.1239312,-0.008882761
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.51804334,0.5307209,-0.01267755
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.9001243,0.9010205,-0.00089621544
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,1.049489,1.0503755,-0.0008864403
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.44451103,0.44380692,0.00070410967
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.48066965,0.49120808,-0.010538429
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.7274321,0.71886176,0.008570313
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.4274222,0.43210635,-0.00468415
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.31844413,0.32281265,-0.004368514
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.8653486,0.872933,-0.007584393
1,0.9,-10,-10,0.024547338485717773,0.0002719121694099158,0.9541683,0.95246285,0.0017054677
