Episode,Epsilon,Reward,Reward cumulee,Episode Duration,Loss,True Value,Value Estimate,TD Error,compteur_session,compteur_global
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.0777497,4.8324933,0.24525642,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,7.6649885,6.5977345,1.0672541,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,13.698517,13.148188,0.5503292,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,8.784643,9.56613,-0.7814865,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,6.755516,7.0840545,-0.32853842,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.7041583,4.974508,-0.2703495,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.017662,4.269235,-0.2515731,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.5757556,5.5394073,0.036348343,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.6165695,4.599621,0.0169487,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.852097,6.4135594,-0.5614624,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.395046,4.789095,-0.3940487,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,9.794693,11.517529,-1.7228355,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,11.405605,12.2571535,-0.8515482,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.295016,4.330306,-0.03529024,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.011026,4.154004,-0.14297819,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,7.6267962,9.303187,-1.6763911,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.751347,4.7994123,-0.048065186,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,8.268173,8.774326,-0.5061531,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.3918777,4.588663,-0.19678545,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,9.390843,8.180031,1.2108126,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.018835,5.5335836,-0.5147486,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,7.9572067,8.0696125,-0.11240578,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.5336623,5.8893547,-0.3556924,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.1101513,4.035189,0.07496214,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.651772,7.175576,-1.5238042,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,6.691686,7.4086246,-0.7169385,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.408577,4.283119,0.12545776,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,3.6460874,3.8978772,-0.2517898,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,10.418876,10.28323,0.13564587,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,6.1442337,7.1924677,-1.048234,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,7.4883676,6.5173135,0.9710541,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,8.634362,7.927085,0.7072773,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.5759954,4.8309474,-0.25495195,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,7.8676515,7.247432,0.62021923,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.367307,5.2544565,0.112850666,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.2346034,5.2146454,0.01995802,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.923564,5.5134873,0.41007662,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.408577,4.6144023,-0.20582533,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.0984883,4.313465,-0.21497679,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,12.16938,12.641273,-0.47189236,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.0984883,4.270249,-0.17176056,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,7.4887805,7.9666944,-0.47791386,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,-10.0,14.029852,-24.029852,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.612494,5.742634,-0.13013983,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,14.192176,14.772526,-0.5803499,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,3.961893,3.975612,-0.013718843,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.7859554,4.7420387,0.043916702,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.721107,4.7836103,-0.06250334,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,10.542002,11.083084,-0.5410824,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.12322,4.2139153,-0.09069538,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.5983434,5.6822157,-0.08387232,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,7.7383857,7.853926,-0.115540504,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.2608814,6.273367,-1.0124855,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,10.542002,10.8311405,-0.2891388,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.4162407,3.8987951,0.51744556,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.212842,5.2329707,-0.020128727,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.8647017,5.8229218,0.041779995,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,7.843367,7.629497,0.21387005,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.3449636,4.6783724,-0.33340883,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.8410435,4.872436,-0.031392574,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,4.721107,4.973858,-0.25275087,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.617992,5.961557,-0.343565,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,7.49577,7.388197,0.10757303,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,14.64691,15.9826355,-1.3357258,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,8.073751,8.821548,-0.747797,6,6
1,0.9,-10,-4,14.42500114440918,32.085741392336786,5.651772,5.461582,0.19018984,6,6
