Episode,Epsilon,Touches Session,Touches Globales,Reward,Episode Reward,Episode Duration,Episode Loss,True Value,Value Estimate,TD Error
60,0.1970241449187153,0,23,-10,-10,0.0,0,-10.0,-7.0,-3.0
61,0.1920985412957474,1,24,-10,-10,0.0,0,-10.0,-9.367175027353028,-0.6328249726469721
62,0.18729607776335372,1,25,-10,-10,0.0,0,-10.0,-7.861079296522531,-2.138920703477469
63,0.18261367581926988,0,25,-10,-10,0.0,0,-10.0,-7.0,-3.0
64,0.17804833392378813,0,25,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
65,0.17359712557569343,0,25,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
66,0.16925719743630108,0,25,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
67,0.16502576750039355,0,25,-10,-10,0.0,0,-10.0,-9.999940951,-5.904900000075486e-05
68,0.1609001233128837,0,25,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
69,0.1568776202300616,0,25,-10,-10,0.0,0,-10.0,-9.999940951,-5.904900000075486e-05
70,0.15295567972431007,1,26,-10,-10,0.0,0,-10.0,-8.471829876687913,-1.528170123312087
71,0.1491317877312023,0,26,-10,-10,0.0,0,-10.0,-7.900520131,-2.0994798689999996
72,0.14540349303792224,1,27,-10,-10,0.0,0,-10.0,-8.568069458396977,-1.4319305416030232
73,0.1417684057119742,0,27,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
74,0.13822419556917484,0,27,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
75,0.13476859067994545,0,27,-10,-10,0.0,0,-10.0,-9.999940951,-5.904900000075486e-05
76,0.13139937591294681,1,28,-10,-10,0.0,0,-10.0,-8.586180707812279,-1.4138192921877213
77,0.12811439151512313,0,28,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
78,0.12491153172724505,0,28,-10,-10,0.0,0,-10.0,-9.9999822853,-1.7714700000226458e-05
79,0.12178874343406391,1,29,-10,-10,0.0,0,-10.0,-7.508452066926999,-2.491547933073001
80,0.11874402484821231,0,29,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
81,0.115775424227007,0,29,-10,-10,0.0,0,-10.0,-9.9999822853,-1.7714700000226458e-05
82,0.11288103862133182,1,30,-10,-10,0.0,0,-10.0,-7.0,-3.0
83,0.11005901265579852,1,31,-10,-10,0.0,0,-10.0,-7.6757606860234295,-2.3242393139765705
84,0.10730753733940356,1,32,-10,-10,0.0,0,-10.0,-7.678081688516141,-2.3219183114838593
85,0.10462484890591846,0,32,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
86,0.10200922768327049,1,33,-10,-10,0.0,0,-10.0,-8.376983641690888,-1.623016358309112
87,0.1,0,33,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
88,0.1,1,34,-10,-10,0.0,0,-10.0,-8.31061,-1.6893899999999995
89,0.1,1,35,-10,-10,0.0,0,-10.0,-8.31061,-1.6893899999999995
90,0.1,1,36,-10,-10,0.0,0,-10.0,-8.5559955103,-1.4440044896999993
91,0.1,1,37,-10,-10,0.0,0,-10.0,-8.969614570000001,-1.030385429999999
92,0.1,1,38,-10,-10,0.0,0,-10.0,-8.553276211639265,-1.4467237883607353
93,0.1,0,38,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
94,0.1,1,39,-10,-10,0.0,0,-10.0,-9.027371199037972,-0.9726288009620276
95,0.1,1,40,-10,-10,0.0,0,-10.0,-8.747076253681538,-1.2529237463184622
96,0.1,0,40,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
97,0.1,0,40,-10,-10,0.0,0,-10.0,-9.9999822853,-1.7714700000226458e-05
98,0.1,0,40,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
99,0.1,1,41,-10,-10,0.0,0,-10.0,-9.7156549,-0.28434509999999946
100,0.1,1,42,-10,-10,0.0,0,-10.0,-9.073057072122523,-0.9269429278774766
101,0.1,0,42,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
102,0.1,1,43,-10,-10,0.0,0,-10.0,-8.635438419041517,-1.3645615809584832
103,0.1,0,43,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
104,0.1,1,44,-10,-10,0.0,0,-10.0,-9.690884371000001,-0.309115628999999
105,0.1,0,44,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
106,0.1,0,44,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
107,0.1,0,44,-10,-10,0.0,0,-10.0,-7.0,-3.0
108,0.1,1,45,-10,-10,0.0,0,-10.0,-7.507406480305967,-2.492593519694033
109,0.1,1,46,-10,-10,0.0,0,-10.0,-9.708211359711392,-0.2917886402886083
110,0.1,1,47,-10,-10,0.0,0,-10.0,-8.405611715307685,-1.5943882846923145
111,0.1,0,47,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
112,0.1,0,47,-10,-10,0.0,0,-10.0,-7.0,-3.0
113,0.1,1,48,-10,-10,0.0,0,-10.0,-8.626443745778616,-1.3735562542213842
114,0.1,1,49,-10,-10,0.0,0,-10.0,-8.53757655712659,-1.4624234428734102
115,0.1,1,50,-10,-10,0.0,0,-10.0,-7.963366495348486,-2.0366335046515136
116,0.1,0,50,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
117,0.1,1,51,-10,-10,0.0,0,-10.0,-7.0,-3.0
118,0.1,1,52,-10,-10,0.0,0,-10.0,-7.0,-3.0
119,0.1,0,52,-10,-10,0.0,0,-10.0,-7.0,-3.0
120,0.1,1,53,-10,-10,0.0,0,-10.0,-9.389009948604546,-0.6109900513954543
121,0.1,0,53,-10,-10,0.0,0,-10.0,-7.0,-3.0
122,0.1,0,53,-10,-10,0.0,0,-10.0,-9.99271,-0.0072899999999993526
123,0.1,0,53,-10,-10,0.0,0,-10.0,-8.0353819,-1.9646180999999991
124,0.1,0,53,-10,-10,0.0,0,-10.0,-7.0,-3.0
125,0.1,0,53,-10,-10,0.0,0,-10.0,-9.99271,-0.0072899999999993526
126,0.1,0,53,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
127,0.1,0,53,-10,-10,0.0,0,-10.0,-8.479214384127129,-1.520785615872871
128,0.1,0,53,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
129,0.1,0,53,-10,-10,0.0,0,-10.0,-7.0,-3.0
130,0.1,1,54,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
131,0.1,1,55,-10,-10,0.0,0,-10.0,-7.0,-3.0
132,0.1,0,55,-10,-10,0.0,0,-10.0,-7.0,-3.0
133,0.1,1,56,-10,-10,0.0,0,-10.0,-7.0,-3.0
134,0.1,1,57,-10,-10,0.0,0,-10.0,-9.100034649272018,-0.8999653507279817
135,0.1,0,57,-10,-10,0.0,0,-10.0,-7.0,-3.0
136,0.1,0,57,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
137,0.1,2,59,-10,-10,0.0,0,-10.0,-7.0,-3.0
138,0.1,0,59,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
139,0.1,0,59,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
140,0.1,2,61,-10,-10,0.0,0,-10.0,-7.0,-3.0
141,0.1,0,61,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
142,0.1,0,61,-10,-10,0.0,0,-10.0,-9.99271,-0.0072899999999993526
143,0.1,0,61,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
144,0.1,0,61,-10,-10,0.0,0,-10.0,-9.99999468559,-5.314410000067937e-06
145,0.1,1,62,-10,-10,0.0,0,-10.0,-8.233750562980891,-1.766249437019109
146,0.1,0,62,-10,-10,0.0,0,-10.0,-7.0,-3.0
147,0.1,0,62,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
148,0.1,1,63,-10,-10,0.0,0,-10.0,-8.74580890259806,-1.2541910974019395
149,0.1,0,63,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
150,0.1,1,64,-10,-10,0.0,0,-10.0,-9.07275670991574,-0.9272432900842595
151,0.1,0,64,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
152,0.1,1,65,-10,-10,0.0,0,-10.0,-8.698692238797523,-1.3013077612024766
153,0.1,1,66,-10,-10,0.0,0,-10.0,-9.575854212343684,-0.4241457876563164
154,0.1,0,66,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
155,0.1,1,67,-10,-10,0.0,0,-10.0,-7.962115754085703,-2.037884245914297
156,0.1,0,67,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
157,0.1,1,68,-10,-10,0.0,0,-10.0,-8.62865614787006,-1.3713438521299395
158,0.1,1,69,-10,-10,0.0,0,-10.0,-8.490746932637466,-1.5092530673625344
159,0.1,0,69,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
160,0.1,1,70,-10,-10,0.0,0,-10.0,-8.824853569167319,-1.1751464308326813
161,0.1,1,71,-10,-10,0.0,0,-10.0,-8.811207884865535,-1.188792115134465
162,0.1,0,71,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
