Episode,Epsilon,Reward,Reward cumulee,Episode Duration,Loss,True Value,Value Estimate,TD Error
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.029926611,0.08415439,-0.054227777
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.06169242,0.06268727,-0.00099485
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,-10.0,-0.5002675,-9.499733
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.052052055,0.016465157,0.035586897
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.0549048,0.07897627,-0.024071474
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.05336888,-0.47071436,0.52408326
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.054558944,0.08353865,-0.028979708
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.030514413,-0.12881982,0.15933424
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.06947567,0.02888449,0.040591184
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.046286795,0.057081494,-0.010794699
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.02554957,0.07373266,-0.04818309
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.0546982,-0.010675333,0.06537353
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.048626464,0.07881962,-0.030193154
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.024842648,0.024509422,0.00033322535
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.054535963,0.06946392,-0.014927961
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.061953615,0.0121172825,0.049836334
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,-0.022805631,-0.013514787,-0.009290844
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.047530293,0.057856876,-0.010326583
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.04799416,0.0017230781,0.046271082
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.06970321,-0.38795283,0.45765603
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,-0.003046483,-0.25406337,0.25101689
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.044785634,-0.36608902,0.41087466
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,-0.015303498,0.064261355,-0.079564855
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.055493984,-0.19101381,0.2465078
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.028256645,0.024282254,0.003974391
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.04617493,0.012272894,0.033902034
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.06386504,0.08524485,-0.021379806
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.04885513,0.100196324,-0.051341195
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.047597665,0.00082350615,0.04677416
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.03488571,0.067124225,-0.032238517
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.04326616,-0.36949134,0.4127575
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,-0.006983227,0.07350856,-0.08049179
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.027571969,0.023957856,0.0036141127
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.053925578,0.10804596,-0.05412038
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.05342594,-0.016999416,0.07042536
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.050642118,0.07579647,-0.025154352
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.052410588,0.10563707,-0.053226486
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.062217847,-0.44389197,0.50610983
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.061609805,0.010902778,0.050707027
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.058187537,0.07750427,-0.019316733
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.050855204,-0.0053460076,0.056201212
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.059970077,0.079181194,-0.019211117
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,-0.0064648585,-0.0074058026,0.00094094407
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.06407454,0.08180892,-0.017734379
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.04528309,0.06953524,-0.02425215
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.06291604,0.060039382,0.002876658
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.06830224,0.08657787,-0.018275633
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.02628775,-0.1376065,0.16389425
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,-0.013066652,-0.0113108605,-0.0017557917
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.057466313,0.08502235,-0.02755604
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.05433325,0.10885941,-0.05452616
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,0.05821341,0.09480297,-0.03658956
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,-0.017704478,-0.012621596,-0.005082881
2,0.8775,-10,-10,0.029473304748535156,1.5254043340682983,-0.011124605,-0.010041855,-0.00108275
