Episode,Epsilon,Reward,Reward cumulee,Episode Duration,Loss,True Value,Value Estimate,TD Error
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.53517234,0.52544737,0.009724975
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.7495094,0.75117624,-0.0016668439
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.3982586,1.3947018,0.0035567284
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.4600748,0.46811154,-0.008036733
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.8948744,0.8839294,0.010945022
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.3911268,1.376006,0.015120745
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.50133586,0.4952409,0.0060949624
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.1804929,1.1655054,0.014987469
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.752585,0.7335777,0.019007266
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.7705247,0.7570913,0.013433397
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.2605381,1.2462599,0.014278173
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.0757066,1.0623577,0.013348937
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.86326975,0.849735,0.013534725
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.5963049,0.5828235,0.013481379
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.2844777,1.2720345,0.012443185
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.0883219,1.0755036,0.0128183365
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.7876278,0.7653418,0.022285998
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.5172607,0.50847816,0.008782506
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.1079545,1.1011983,0.0067561865
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.63658476,0.6228759,0.01370883
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.7694137,0.7577722,0.011641502
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.3558214,1.3487179,0.007103443
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.320251,1.308652,0.011598945
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.78126335,0.7732457,0.008017659
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.3867823,1.3838747,0.0029076338
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.82875526,0.8129291,0.015826166
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.3513043,1.3418918,0.009412527
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.8385005,0.8336594,0.0048410892
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.4442283,0.44847724,-0.004248947
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.5333977,1.5040147,0.029382944
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.1578739,1.1454045,0.012469411
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.365337,1.3556591,0.009677887
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.279253,1.2682577,0.010995269
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.9305163,0.9182868,0.012229502
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.4764948,1.4624099,0.014084935
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.680546,0.6556878,0.024858177
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.7972213,0.78678846,0.010432839
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.2534568,1.2416712,0.011785626
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.3743814,1.3652251,0.009156346
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.0059655,0.9987442,0.0072212815
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.8401154,0.8371191,0.0029963255
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.8210012,0.8136442,0.0073570013
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.84119356,0.84249985,-0.0013062954
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.60521394,0.5913031,0.01391083
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.88515115,0.8749423,0.010208845
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.165905,1.1509031,0.015001893
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.6866571,0.66800326,0.01865381
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.8308054,0.8241818,0.0066236258
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.9172526,0.9134747,0.0037779212
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.76048326,0.73958844,0.020894825
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.74186134,0.73473954,0.0071218014
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.53725106,0.5471969,-0.009945869
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.0706635,1.0598269,0.010836601
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,0.6591335,0.6536105,0.0055229664
1,0.9,-10,-10,0.029062986373901367,0.00018600106704980135,1.1792256,1.1719798,0.007245779
