Episode,Epsilon,Reward,Reward cumulee,Episode Duration,Loss,True Value,Value Estimate,TD Error,Touches Joueur 2,Touches Joueur 2 Cumulees
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.08947161,0.14095664,-0.05148503,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.1342828,0.051404275,0.08287852,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.065683715,0.07930814,-0.013624422,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.09226745,0.010174608,0.082092844,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,-10.0,0.18938829,-10.189388,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.13460727,0.09622697,0.038380302,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.15717673,-0.27372637,0.4309031,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.08488206,0.0853585,-0.00047644228,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.15983328,0.15855038,0.0012829006,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.05965237,0.074288264,-0.014635894,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.071950205,0.13638274,-0.06443254,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.06862253,0.07660154,-0.007979013,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.15529104,0.10261825,0.05267279,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.1386715,0.162171,-0.023499504,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.036871627,-0.027228346,0.064099975,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.13408534,0.016704893,0.11738045,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.15819365,0.15856692,-0.0003732741,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.103617094,0.16757978,-0.06396269,0,0
2,0.8955,-10,-10,0.028335094451904297,1.5638071298599243,0.13389257,0.107908756,0.02598381,0,0
