Episode,Epsilon,Reward,Reward cumulee,Episode Duration,Loss
1,0.6400471972407433,10,10,0.016946077346801758,0
2,0.45517823855081224,10,10,0.027976512908935547,1.0054482221603394
3,0.3237061731438063,10,10,0.026471853256225586,0.07839471846818924
4,0.23020803205579995,10,10,0.021362781524658203,0.08361360430717468
5,0.1,10,10,0.029190540313720703,0.33265969157218933
6,0.1,10,10,0.028284549713134766,0.4311997592449188
7,0.1,10,10,0.027846336364746094,1.4567219018936157
8,0.1,10,10,0.027428388595581055,2.689032793045044
9,0.1,10,10,0.028631925582885742,5.655094146728516
10,0.1,10,10,0.02620220184326172,3.949533462524414
11,0.1,10,10,0.024739742279052734,16.737464904785156
12,0.1,10,10,0.027998924255371094,11.796561241149902
13,0.1,10,10,0.028034210205078125,19.69679832458496
14,0.1,10,10,0.029364585876464844,3.0944294929504395
15,0.1,10,10,0.025278091430664062,2.2513375282287598
16,0.1,10,10,0.0247194766998291,0.9697247743606567
17,0.1,10,10,0.025487899780273438,1.1625772714614868
18,0.1,10,10,0.025220155715942383,1.287389874458313
19,0.1,10,10,0.027263402938842773,0.7141819000244141
20,0.1,10,10,0.026797771453857422,0.15969276428222656
21,0.1,10,10,0.030208587646484375,0.0887996256351471
22,0.1,10,10,0.0280911922454834,0.07303092628717422
23,0.1,10,10,0.025072336196899414,0.05525531992316246
24,0.1,10,10,0.0292205810546875,0.09375683963298798
25,0.1,10,10,0.028069257736206055,0.04552817717194557
26,0.1,10,10,0.0289919376373291,0.07620926201343536
27,0.1,10,10,0.028924942016601562,0.1205383911728859
28,0.1,10,10,0.02957916259765625,0.06269446760416031
29,0.1,10,10,0.023415327072143555,0.08233389258384705
30,0.1,10,10,0.025891780853271484,0.06354565173387527
31,0.1,10,10,0.02594780921936035,0.10921520739793777
32,0.1,10,10,0.025849103927612305,0.17428146302700043
33,0.1,10,10,0.027228832244873047,0.16224214434623718
34,0.1,10,10,0.030750274658203125,0.08350186049938202
35,0.1,10,10,0.02754521369934082,0.09256859123706818
36,0.1,10,10,0.02971792221069336,0.067234106361866
37,0.1,10,10,0.023732423782348633,0.06875146180391312
38,0.1,10,10,0.02856278419494629,0.05521221086382866
39,0.1,10,10,0.02615070343017578,0.0720314085483551
40,0.1,10,10,0.023377180099487305,0.18323564529418945
41,0.1,10,10,0.02844405174255371,0.1378805935382843
42,0.1,10,10,0.02839803695678711,0.06708256900310516
43,0.1,10,10,0.02892279624938965,0.09170970320701599
44,0.1,10,10,0.025346040725708008,0.12325916439294815
45,0.1,10,10,0.026429414749145508,0.1341094970703125
46,0.1,10,10,0.022327661514282227,0.34459632635116577
47,0.1,10,10,0.027103424072265625,0.14986571669578552
48,0.1,10,10,0.025275707244873047,0.10462288558483124
49,0.1,10,10,0.029872894287109375,0.11897949129343033
50,0.1,10,10,0.028030872344970703,0.17803199589252472
51,0.1,10,10,0.029107093811035156,0.15999014675617218
52,0.1,10,10,0.029384851455688477,0.1336662769317627
53,0.1,10,10,0.027129650115966797,0.4227481484413147
54,0.1,10,10,0.029031038284301758,0.36511656641960144
55,0.1,10,10,0.02666187286376953,0.41876232624053955
56,0.1,10,10,0.028954744338989258,0.3266311585903168
57,0.1,10,10,0.023670196533203125,0.12432679533958435
58,0.1,10,10,0.030776500701904297,0.18213462829589844
59,0.1,10,10,0.030144214630126953,0.08428557217121124
60,0.1,10,10,0.029078245162963867,0.16914913058280945
61,0.1,10,10,0.03096938133239746,0.1614452600479126
